133,157,122,77,37,20
79,36,7,1,0,0
111,272,352,305,155,53
74,63,53,25,4,0
82,74,37,6,0,0
89,41,15,1,0,0
96,279,465,557,385,233
77,28,10,2,0,0
64,102,89,40,14,6
80,199,327,387,265,159
86,60,32,4,1,0
102,68,19,6,1,0
82,70,36,11,2,0
114,135,108,59,20,8
79,146,175,158,97,45
97,133,123,65,26,11
130,57,19,3,1,0
75,31,11,2,1,0
95,106,58,24,8,2
91,43,13,1,0,0
74,49,34,8,0,0
90,258,585,840,808,600
107,56,27,4,0,0
52,106,134,109,49,9
85,28,10,2,0,0
104,67,38,12,6,0
155,105,60,15,1,0
83,38,4,0,0,0
96,76,46,7,2,0
103,196,238,188,112,45
98,100,85,49,22,2
101,134,127,82,38,6
124,65,39,8,1,1
71,62,39,10,1,1
96,101,63,19,3,1
73,91,70,39,10,3
72,143,165,146,97,53
109,58,25,9,0,0
70,151,216,223,147,69
70,31,17,3,2,0
109,68,27,10,1,1
81,38,10,0,0,0
104,87,50,21,4,0
101,74,36,12,0,0
105,36,14,1,0,0
153,105,41,16,3,0
68,71,47,18,11,5
61,34,17,4,0,0
123,158,133,81,32,9
96,46,6,0,0,0
127,204,204,140,44,16
91,77,34,12,5,0
76,79,54,28,5,0
77,21,10,0,0,0
57,59,42,10,2,0
104,68,44,20,4,0
136,172,179,132,65,20
89,23,2,1,0,0
68,132,158,148,91,33
113,52,10,3,1,0
113,170,236,213,113,59
101,131,115,59,24,10
94,45,17,2,0,0
88,250,413,548,464,314
99,36,5,1,0,0
76,80,46,10,0,0
92,81,48,16,2,0
75,90,65,23,7,2
77,64,44,14,3,2
109,130,117,61,33,16
123,139,113,43,22,1
116,109,59,26,7,3
82,27,11,4,1,0
117,93,35,21,2,0
90,148,127,84,29,15
78,42,10,1,0,0
109,84,41,15,3,2
116,36,6,0,0,0
91,61,25,5,2,0
86,38,15,2,0,0
68,111,129,108,51,25
109,26,3,0,0,0
93,54,30,7,4,0
61,73,70,45,22,1
88,103,88,61,25,9
99,138,125,68,34,8
93,142,101,68,34,11
99,95,76,52,16,8
95,145,138,85,33,12
88,72,33,11,3,0
106,98,58,20,3,1
97,30,4,0,0,0
95,93,49,19,5,0
147,236,284,213,108,28
87,30,6,0,0,0
90,51,12,5,0,0
87,81,56,13,1,0
113,178,178,139,70,24
123,192,227,162,102,45
97,25,4,1,0,0
87,75,60,28,16,1
105,47,6,0,0,0
71,67,72,33,9,0
135,34,4,2,0,0
112,181,166,104,46,23
90,54,21,2,0,0
141,127,88,37,13,4
101,93,44,14,4,1
109,46,8,1,0,0
90,99,73,44,5,3
111,84,45,13,4,0
137,76,31,10,1,0
116,179,117,64,34,9
65,50,30,17,3,0
